ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 10.538, Start Typing Pressed, Scenario:0, Step:1
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.664, Send Message Pressed, Scenario:0, Step:1
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.230, Start Typing Pressed, Scenario:0, Step:3
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 23.163, Send Message Pressed, Scenario:0, Step:3
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.838, Start Typing Pressed, Scenario:0, Step:5
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 5.097, Send Message Pressed, Scenario:0, Step:5
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 6.269, Start Typing Pressed, Scenario:0, Step:7
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 4.150, Send Message Pressed, Scenario:0, Step:7
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.281, Next Pressed, Scenario:0, Step:9
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 4.039, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 8.240, Start Typing Pressed, Scenario:1, Step:1
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 8.160, Send Message Pressed, Scenario:1, Step:1
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 13.536, Start Typing Pressed, Scenario:1, Step:3
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 5.662, Send Message Pressed, Scenario:1, Step:3
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 7.239, Start Typing Pressed, Scenario:1, Step:5
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 36.051, Send Message Pressed, Scenario:1, Step:5
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 8.542, Start Typing Pressed, Scenario:1, Step:7
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 4.415, Send Message Pressed, Scenario:1, Step:7
nszw26001_tdPXcIDF9J,2026-01-27_20-02-47,2026-01-27_20-10-13,ItoE_name, 12.544, Next Pressed, Scenario:1, Step:9
