ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 30.659, Start Typing Pressed, Scenario:0, Step:1
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 10.319, Send Message Pressed, Scenario:0, Step:1
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 12.631, Start Typing Pressed, Scenario:0, Step:3
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 11.882, Send Message Pressed, Scenario:0, Step:3
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 31.669, Start Typing Pressed, Scenario:0, Step:5
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 5.684, Send Message Pressed, Scenario:0, Step:5
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 16.080, Start Typing Pressed, Scenario:0, Step:7
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 8.331, Send Message Pressed, Scenario:0, Step:7
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 11.633, Next Pressed, Scenario:0, Step:9
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 9.052, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 6.583, Start Typing Pressed, Scenario:1, Step:1
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 3.632, Send Message Pressed, Scenario:1, Step:1
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 16.574, Start Typing Pressed, Scenario:1, Step:3
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 3.953, Send Message Pressed, Scenario:1, Step:3
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 27.424, Start Typing Pressed, Scenario:1, Step:5
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 5.137, Send Message Pressed, Scenario:1, Step:5
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 10.554, Start Typing Pressed, Scenario:1, Step:7
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 8.851, Send Message Pressed, Scenario:1, Step:7
nszw26001_uhQ9wqpAkc,2026-01-27_23-01-40,2026-01-27_23-12-41,ItoI_noname, 16.266, Next Pressed, Scenario:1, Step:9
