ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 18.564, Start Typing Pressed, Scenario:0, Step:1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 10.726, Send Message Pressed, Scenario:0, Step:1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 5.817, Start Typing Pressed, Scenario:0, Step:3
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 6.134, Send Message Pressed, Scenario:0, Step:3
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 5.698, Start Typing Pressed, Scenario:0, Step:5
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 4.074, Send Message Pressed, Scenario:0, Step:5
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 6.758, Start Typing Pressed, Scenario:0, Step:7
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 2.713, Send Message Pressed, Scenario:0, Step:7
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 3.955, Next Pressed, Scenario:0, Step:9
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 3.814, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 4.876, Start Typing Pressed, Scenario:1, Step:1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 3.019, Send Message Pressed, Scenario:1, Step:1
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 9.216, Start Typing Pressed, Scenario:1, Step:3
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 2.498, Send Message Pressed, Scenario:1, Step:3
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 5.885, Start Typing Pressed, Scenario:1, Step:5
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 2.605, Send Message Pressed, Scenario:1, Step:5
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 4.724, Start Typing Pressed, Scenario:1, Step:7
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 3.842, Send Message Pressed, Scenario:1, Step:7
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 4.173, Next Pressed, Scenario:1, Step:9
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,ItoI_noname, 2.481, End/Reset Pressed, Scenario:1, Step:9
nszw26001_w5WgfGaTiT,2026-01-27_23-07-34,2026-01-27_23-11-45,System, Reset Performed, -, -
