ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 9.283, Start Typing Pressed, Scenario:0, Step:1
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 13.966, Send Message Pressed, Scenario:0, Step:1
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 14.335, Start Typing Pressed, Scenario:0, Step:3
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 6.967, Send Message Pressed, Scenario:0, Step:3
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 52.555, Start Typing Pressed, Scenario:0, Step:5
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 6.010, Send Message Pressed, Scenario:0, Step:5
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 5.757, Start Typing Pressed, Scenario:0, Step:7
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 4.231, Send Message Pressed, Scenario:0, Step:7
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 5.836, Next Pressed, Scenario:0, Step:9
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 7.127, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 7.901, Start Typing Pressed, Scenario:1, Step:1
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 6.044, Send Message Pressed, Scenario:1, Step:1
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 9.017, Start Typing Pressed, Scenario:1, Step:3
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 3.391, Send Message Pressed, Scenario:1, Step:3
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 7.771, Start Typing Pressed, Scenario:1, Step:5
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 4.316, Send Message Pressed, Scenario:1, Step:5
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 11.441, Start Typing Pressed, Scenario:1, Step:7
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 2.893, Send Message Pressed, Scenario:1, Step:7
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 6.860, Next Pressed, Scenario:1, Step:9
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,ItoI_noname, 11.306, End/Reset Pressed, Scenario:1, Step:9
nszw26001_wmr7BbTroj,2026-01-27_20-09-37,2026-01-27_20-17-37,System, Reset Performed, -, -
