ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 6.978, Start Typing Pressed, Scenario:0, Step:1
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 5.356, Send Message Pressed, Scenario:0, Step:1
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 5.121, Start Typing Pressed, Scenario:0, Step:3
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.877, Send Message Pressed, Scenario:0, Step:3
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 3.794, Start Typing Pressed, Scenario:0, Step:5
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.466, Send Message Pressed, Scenario:0, Step:5
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.968, Start Typing Pressed, Scenario:0, Step:7
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.993, Send Message Pressed, Scenario:0, Step:7
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 3.121, Next Pressed, Scenario:0, Step:9
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 4.213, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 3.880, Start Typing Pressed, Scenario:1, Step:1
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.921, Send Message Pressed, Scenario:1, Step:1
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.936, Start Typing Pressed, Scenario:1, Step:3
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.263, Send Message Pressed, Scenario:1, Step:3
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 3.125, Start Typing Pressed, Scenario:1, Step:5
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 1.789, Send Message Pressed, Scenario:1, Step:5
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.702, Start Typing Pressed, Scenario:1, Step:7
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.380, Send Message Pressed, Scenario:1, Step:7
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 3.334, Next Pressed, Scenario:1, Step:9
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 0.116, End/Reset Pressed, Scenario:1, Step:9
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,System, Reset Performed, -, -
nszw26001_xFoRZFwQx7,2026-01-27_20-02-35,2026-01-27_20-05-11,ItoE_name, 2.726, Start Typing Pressed, Scenario:0, Step:1
