ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 6.088, Start Typing Pressed, Scenario:0, Step:1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 7.889, Send Message Pressed, Scenario:0, Step:1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 21.138, Start Typing Pressed, Scenario:0, Step:3
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 6.994, Send Message Pressed, Scenario:0, Step:3
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 12.304, Start Typing Pressed, Scenario:0, Step:5
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 6.384, Send Message Pressed, Scenario:0, Step:5
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 8.800, Start Typing Pressed, Scenario:0, Step:7
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 4.215, Send Message Pressed, Scenario:0, Step:7
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 6.640, Next Pressed, Scenario:0, Step:9
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 5.391, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 4.671, Start Typing Pressed, Scenario:1, Step:1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 2.616, Send Message Pressed, Scenario:1, Step:1
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 10.831, Start Typing Pressed, Scenario:1, Step:3
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 3.647, Send Message Pressed, Scenario:1, Step:3
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 6.344, Start Typing Pressed, Scenario:1, Step:5
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 3.576, Send Message Pressed, Scenario:1, Step:5
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 11.704, Start Typing Pressed, Scenario:1, Step:7
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 5.568, Send Message Pressed, Scenario:1, Step:7
nszw26001_yXBhgjQcCv,2026-01-27_20-02-49,2026-01-27_20-08-46,ItoE_noname, 10.047, Next Pressed, Scenario:1, Step:9
