ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 7.664, Start Typing Pressed, Scenario:0, Step:1
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 2.514, Send Message Pressed, Scenario:0, Step:1
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 6.003, Start Typing Pressed, Scenario:0, Step:3
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 5.129, Send Message Pressed, Scenario:0, Step:3
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 7.710, Start Typing Pressed, Scenario:0, Step:5
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 8.252, Send Message Pressed, Scenario:0, Step:5
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 6.015, Start Typing Pressed, Scenario:0, Step:7
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 5.901, Send Message Pressed, Scenario:0, Step:7
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 4.667, Next Pressed, Scenario:0, Step:9
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 3.862, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 3.996, Start Typing Pressed, Scenario:1, Step:1
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 4.121, Send Message Pressed, Scenario:1, Step:1
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 5.286, Start Typing Pressed, Scenario:1, Step:3
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 3.238, Send Message Pressed, Scenario:1, Step:3
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 2.935, Start Typing Pressed, Scenario:1, Step:5
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 3.924, Send Message Pressed, Scenario:1, Step:5
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 5.862, Start Typing Pressed, Scenario:1, Step:7
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 2.858, Send Message Pressed, Scenario:1, Step:7
nszw26001_yfkynHPo71,2026-01-27_20-02-36,2026-01-27_20-06-43,ItoI_noname, 4.910, Next Pressed, Scenario:1, Step:9
