ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 12.342, Start Typing Pressed, Scenario:0, Step:1
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 7.685, Send Message Pressed, Scenario:0, Step:1
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 10.872, Start Typing Pressed, Scenario:0, Step:3
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 6.110, Send Message Pressed, Scenario:0, Step:3
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 5.866, Start Typing Pressed, Scenario:0, Step:5
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 4.521, Send Message Pressed, Scenario:0, Step:5
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 18.630, Start Typing Pressed, Scenario:0, Step:7
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 4.900, Send Message Pressed, Scenario:0, Step:7
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 8.401, Next Pressed, Scenario:0, Step:9
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 4.162, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 5.804, Start Typing Pressed, Scenario:1, Step:1
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 5.126, Send Message Pressed, Scenario:1, Step:1
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 6.000, Start Typing Pressed, Scenario:1, Step:3
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 5.149, Send Message Pressed, Scenario:1, Step:3
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 10.178, Start Typing Pressed, Scenario:1, Step:5
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 5.919, Send Message Pressed, Scenario:1, Step:5
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 7.129, Start Typing Pressed, Scenario:1, Step:7
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 3.440, Send Message Pressed, Scenario:1, Step:7
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 2.125, Next Pressed, Scenario:1, Step:9
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 7.037, End/Reset Pressed, Scenario:1, Step:9
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,System, Reset Performed, -, -
nszw26001_zNebVqFwd1,2026-01-27_20-02-37,2026-01-27_20-09-14,ItoI_noname, 4.858, Start Typing Pressed, Scenario:0, Step:1
