ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベント,シナリオID,ステップ数
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 31.927, Start Typing Pressed, Scenario:0, Step:1
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 15.346, Send Message Pressed, Scenario:0, Step:1
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 22.786, Start Typing Pressed, Scenario:0, Step:3
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 5.307, Send Message Pressed, Scenario:0, Step:3
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 26.898, Start Typing Pressed, Scenario:0, Step:5
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 7.349, Send Message Pressed, Scenario:0, Step:5
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 8.423, Start Typing Pressed, Scenario:0, Step:7
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 5.941, Send Message Pressed, Scenario:0, Step:7
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 10.569, Next Pressed, Scenario:0, Step:9
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 5.910, Create New Chat Pressed, Scenario:0, Step:9
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 6.923, Start Typing Pressed, Scenario:1, Step:1
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 5.989, Send Message Pressed, Scenario:1, Step:1
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 21.471, Start Typing Pressed, Scenario:1, Step:3
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 5.013, Send Message Pressed, Scenario:1, Step:3
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 11.226, Start Typing Pressed, Scenario:1, Step:5
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 4.748, Send Message Pressed, Scenario:1, Step:5
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 14.256, Start Typing Pressed, Scenario:1, Step:7
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 12.358, Send Message Pressed, Scenario:1, Step:7
nszw26001_zdT3UJk1Tr,2026-01-27_20-02-32,2026-01-27_20-14-12,ItoI_noname, 9.210, Next Pressed, Scenario:1, Step:9
