Trial,PersonaType,PersonaDesc,Age,Gender,DialogueFile,PersonaSwitch,HasName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
0,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoE_name.txt,なし,あり,2,1,0,0,1,1,4,0,0,1,0,0,1,1,2,0,1,0,0
1,IHRTS,慎重な現実主義者 (ISTP),20-29,Male,ItoE_name.txt,なし,あり,3,2,1,0,1,1,2,0,0,2,0,0,1,0,1,0,1,0,1
2,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoE_name.txt,なし,あり,3,2,1,0,1,1,2,0,0,2,0,1,1,1,2,0,1,0,1
3,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoE_name.txt,なし,あり,3,2,1,0,1,1,2,0,0,1,0,1,1,0,2,0,1,0,0
4,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,3,1,0,0,1,1,1,0,0,2,0,1,1,0,1,0,1,0,1
5,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoE_name.txt,なし,あり,2,2,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1
6,IHRTS,慎重な現実主義者 (ISTP),80-89,Female,ItoI_name.txt,あり,あり,3,2,0,0,1,2,2,0,0,1,0,0,2,0,3,0,1,0,1
7,IHRTS,慎重な現実主義者 (ISTP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,0,0,1,1,1,0,0,2,0,0,1,0,2,0,1,0,0
8,IHRTS,慎重な現実主義者 (ISTP),50-59,Male,ItoE_noname.txt,なし,なし,2,1,1,0,1,1,2,0,0,2,0,0,1,0,2,0,1,0,0
9,IHRTS,慎重な現実主義者 (ISTP),20-29,Male,ItoE_noname.txt,なし,なし,4,2,1,0,1,1,2,0,0,2,0,1,2,1,2,0,1,0,0
10,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoE_name.txt,なし,あり,2,1,1,0,1,1,3,0,1,1,0,0,1,0,1,0,1,0,0
11,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoI_noname.txt,あり,なし,3,2,1,0,1,1,2,0,0,4,0,1,1,1,1,0,1,0,1
12,IHRTS,慎重な現実主義者 (ISTP),70-79,Female,ItoI_name.txt,あり,あり,3,1,1,0,1,1,2,0,0,2,0,1,2,1,2,0,1,0,1
13,IHRTS,慎重な現実主義者 (ISTP),50-59,Female,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,2,0,0,2,0,1,1,0,2,0,2,0,1
14,IHRTS,慎重な現実主義者 (ISTP),40-49,Male,ItoE_name.txt,なし,あり,3,2,1,0,1,1,3,0,0,2,0,0,1,1,2,0,2,0,1
15,EACNO,万能リーダー (ENFJ),20-29,Female,ItoE_noname.txt,なし,なし,6,4,2,1,5,4,5,2,2,3,1,2,5,2,4,3,4,1,4
16,EACNO,万能リーダー (ENFJ),70-79,Female,ItoE_name.txt,なし,あり,6,5,2,1,4,3,6,1,2,4,0,2,5,1,4,2,4,1,3
17,EACNO,万能リーダー (ENFJ),60-69,Female,ItoI_noname.txt,あり,なし,4,3,1,0,2,1,2,0,1,5,0,1,3,1,3,1,2,0,2
18,EACNO,万能リーダー (ENFJ),40-49,Male,ItoE_noname.txt,なし,なし,6,4,2,1,4,3,5,2,2,4,1,2,5,2,5,2,4,1,3
19,EACNO,万能リーダー (ENFJ),70-79,Female,ItoE_name.txt,なし,あり,5,5,1,0,5,3,5,1,2,4,0,1,6,1,4,2,4,1,3
20,EACNO,万能リーダー (ENFJ),70-79,Female,ItoE_noname.txt,なし,なし,5,4,2,1,4,3,5,1,2,4,1,1,5,1,3,1,3,1,2
21,EACNO,万能リーダー (ENFJ),60-69,Female,ItoI_name.txt,あり,あり,3,2,1,1,2,2,2,1,1,3,0,1,4,1,3,1,2,0,1
22,EACNO,万能リーダー (ENFJ),20-29,Female,ItoI_name.txt,あり,あり,5,3,2,1,3,3,4,2,2,4,1,2,6,1,4,2,4,1,3
23,EACNO,万能リーダー (ENFJ),80-89,Female,ItoE_name.txt,なし,あり,6,5,1,0,4,2,7,1,2,5,0,1,6,1,4,2,5,0,3
24,EACNO,万能リーダー (ENFJ),30-39,Male,ItoI_noname.txt,あり,なし,6,4,1,1,3,3,3,1,1,6,1,2,4,2,4,2,4,1,3
34,IHRTO,孤独な芸術家 (INTP),50-59,Female,ItoI_noname.txt,あり,なし,3,1,0,0,0,2,1,0,0,2,0,0,1,0,1,0,1,0,0
35,IHRTO,孤独な芸術家 (INTP),80-89,Female,ItoI_noname.txt,あり,なし,4,2,1,0,1,1,2,0,1,2,0,0,2,1,2,0,2,0,1
36,EACNS,堅実な調整役 (ESFJ),20-29,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,2,2,0,1,3,0,1,4,1,4,1,2,0,2
37,EACNS,堅実な調整役 (ESFJ),60-69,Female,ItoE_noname.txt,なし,なし,4,3,1,0,2,1,3,0,0,5,0,1,5,1,4,1,2,0,2
38,EACNS,堅実な調整役 (ESFJ),80-89,Female,ItoE_name.txt,なし,あり,5,4,1,1,3,2,4,1,1,3,1,1,4,1,3,1,3,1,2
39,EACNS,堅実な調整役 (ESFJ),40-49,Male,ItoE_name.txt,なし,あり,4,3,2,1,3,2,4,1,1,2,1,2,4,1,4,2,3,1,2
40,EACNS,堅実な調整役 (ESFJ),70-79,Female,ItoE_noname.txt,なし,なし,3,2,0,0,2,1,5,0,0,3,0,0,3,0,3,1,2,0,1
41,EACNS,堅実な調整役 (ESFJ),80-89,Female,ItoI_noname.txt,あり,なし,3,1,0,0,2,1,2,0,0,2,0,0,2,1,3,0,2,0,1
42,IHRNS,寡黙な観察者 (ISTP),40-49,Male,ItoI_name.txt,あり,あり,2,2,1,0,1,1,1,0,0,1,0,1,2,0,2,0,1,0,1
43,IHRNS,寡黙な観察者 (ISTP),70-79,Female,ItoI_noname.txt,あり,なし,2,1,1,0,2,1,1,0,0,2,0,0,2,0,2,1,1,0,1
44,IHRNS,寡黙な観察者 (ISTP),20-29,Male,ItoI_name.txt,あり,あり,3,2,1,0,1,2,3,0,1,2,0,1,2,1,2,0,2,0,1
45,IHRNS,寡黙な観察者 (ISTP),70-79,Female,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,1,0,0,1,0,1,1,1,2,0,1,0,1
46,IHRNS,寡黙な観察者 (ISTP),80-89,Female,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,3,0,1,2,0,0,2,1,3,0,2,0,1
47,EHRTS,豪快な実践者 (ESTP),50-59,Male,ItoI_name.txt,あり,あり,2,1,0,0,1,1,2,0,0,1,0,0,1,0,1,0,1,0,1
48,EHRTS,豪快な実践者 (ESTP),40-49,Male,ItoE_name.txt,なし,あり,3,2,0,0,0,1,3,0,0,1,0,0,1,0,1,0,1,0,0
49,EHRTS,豪快な実践者 (ESTP),30-39,Male,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,0,1,0,0,1,0,2,0,1,0,1
50,EHRTS,豪快な実践者 (ESTP),70-79,Female,ItoI_name.txt,あり,あり,3,2,0,0,0,1,2,0,0,2,0,0,1,1,2,0,1,0,1
51,IACNO,思慮深い賢者 (INFJ),30-39,Male,ItoI_name.txt,あり,あり,4,3,1,0,3,2,4,1,2,4,0,1,4,2,3,1,3,0,2
52,IACNO,思慮深い賢者 (INFJ),70-79,Female,ItoE_name.txt,なし,あり,6,4,2,0,4,3,5,1,2,4,1,1,5,2,4,2,4,1,3
53,IACNO,思慮深い賢者 (INFJ),30-39,Male,ItoE_name.txt,なし,あり,5,2,1,0,2,1,4,0,1,3,0,1,2,1,3,1,2,0,1
54,IACNO,思慮深い賢者 (INFJ),50-59,Male,ItoI_noname.txt,あり,なし,4,2,1,0,2,2,2,1,1,3,0,1,4,1,2,1,2,0,1
55,IHRNO,独立型思想家 (INTP),20-29,Male,ItoE_noname.txt,なし,なし,3,2,1,0,2,2,2,1,1,3,0,1,2,1,3,1,2,0,0
56,IHRNO,独立型思想家 (INTP),60-69,Female,ItoE_noname.txt,なし,なし,4,2,1,0,1,2,1,0,0,3,0,0,2,0,2,0,1,0,0
57,IHRNO,独立型思想家 (INTP),70-79,Female,ItoI_name.txt,あり,あり,2,1,0,0,0,1,2,0,0,3,0,0,1,0,2,0,1,0,0
58,IHRNO,独立型思想家 (INTP),40-49,Male,ItoI_name.txt,あり,あり,3,2,0,0,1,1,2,0,1,3,0,0,2,0,2,0,1,0,1
59,EHCNO,戦略的開拓者 (ENTJ),60-69,Female,ItoE_noname.txt,なし,なし,3,2,1,0,1,2,2,0,0,2,0,1,2,0,3,0,2,0,1
60,EHCNO,戦略的開拓者 (ENTJ),40-49,Male,ItoE_noname.txt,なし,なし,4,3,1,0,1,2,5,0,0,2,0,0,1,0,2,0,2,0,1
61,EHCNO,戦略的開拓者 (ENTJ),70-79,Female,ItoI_name.txt,あり,あり,3,2,0,0,0,1,2,0,0,1,0,0,1,0,2,0,1,0,1
62,IARTS,控えめな実践者 (ISFP),60-69,Female,ItoE_noname.txt,なし,なし,4,3,1,0,3,2,4,1,1,2,0,1,4,0,5,1,2,0,2
63,IARTS,控えめな実践者 (ISFP),60-69,Female,ItoE_name.txt,なし,あり,5,4,2,0,3,2,5,1,1,3,0,1,4,1,3,1,3,0,3
64,IARTS,控えめな実践者 (ISFP),30-39,Male,ItoE_noname.txt,なし,なし,6,3,2,1,3,3,4,1,2,4,1,2,3,1,4,2,3,1,3
65,EHRTO,自由奔放な冒険家 (ENTP),80-89,Female,ItoE_name.txt,なし,あり,3,3,1,0,1,1,6,0,3,4,0,0,1,0,2,1,3,0,1
66,EHRTO,自由奔放な冒険家 (ENTP),50-59,Female,ItoE_noname.txt,なし,なし,4,3,1,0,2,1,2,1,2,6,0,1,1,1,3,1,1,0,1
67,EHRTO,自由奔放な冒険家 (ENTP),20-29,Male,ItoI_name.txt,あり,あり,3,2,0,0,1,1,4,0,2,4,0,1,2,0,3,0,2,0,1
68,EARTS,行動派エンターテイナー (ESFP),50-59,Male,ItoI_noname.txt,あり,なし,5,4,2,1,2,3,4,1,2,5,0,1,3,1,3,1,4,0,2
69,EARTS,行動派エンターテイナー (ESFP),20-29,Male,ItoI_name.txt,あり,あり,8,5,1,0,4,2,4,0,1,3,0,1,6,0,4,2,3,0,2
70,EARTS,行動派エンターテイナー (ESFP),30-39,Male,ItoI_noname.txt,あり,なし,4,3,1,0,2,3,2,1,2,4,0,1,3,2,4,1,2,0,2
71,IHCNO,孤高の戦略家 (INTJ),20-29,Male,ItoE_noname.txt,なし,なし,3,2,1,0,0,1,2,0,0,2,0,0,1,0,2,0,1,0,1
72,IHCNO,孤高の戦略家 (INTJ),80-89,Female,ItoE_noname.txt,なし,なし,3,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0
73,IHCNO,孤高の戦略家 (INTJ),30-39,Male,ItoE_noname.txt,なし,なし,1,1,1,0,1,1,2,0,0,2,0,1,1,0,2,0,1,0,0
74,EACTO,共感クリエイター (ENFP),30-39,Male,ItoE_noname.txt,なし,なし,5,4,2,1,3,2,4,1,2,4,0,1,3,1,4,2,2,0,2
75,EACTO,共感クリエイター (ENFP),80-89,Female,ItoE_name.txt,なし,あり,6,5,1,0,4,3,6,0,2,3,0,0,4,2,4,1,4,0,3
76,IACNS,誠実な職人 (ISFJ),50-59,Male,ItoE_noname.txt,なし,なし,4,3,1,0,2,1,4,0,0,2,0,1,2,0,3,0,2,0,2
77,IACNS,誠実な職人 (ISFJ),40-49,Male,ItoI_name.txt,あり,あり,4,3,1,0,2,1,4,0,0,3,0,1,2,1,3,0,2,0,1
78,IARTO,内なる夢想家 (INFP),80-89,Female,ItoI_noname.txt,あり,なし,4,3,1,0,3,2,3,1,1,4,0,1,2,1,2,2,2,0,2
79,IARTO,内なる夢想家 (INFP),50-59,Female,ItoE_noname.txt,なし,なし,4,3,1,0,3,2,2,1,1,3,0,1,4,1,3,1,2,0,1
80,EHRNO,独立型ビジョナリー (ENTP),40-49,Male,ItoI_name.txt,あり,あり,4,2,1,0,2,2,3,0,1,3,0,1,2,1,2,0,2,0,1
81,EHRNO,独立型ビジョナリー (ENTP),20-29,Male,ItoE_noname.txt,なし,なし,5,4,2,0,2,2,4,1,3,5,0,1,3,0,4,1,3,0,2
82,EARNO,自由な外交官 (ENFP),70-79,Female,ItoI_name.txt,あり,あり,5,4,1,0,4,2,3,1,2,4,0,1,5,1,4,2,3,1,4
83,EARNO,自由な外交官 (ENFP),60-69,Female,ItoE_noname.txt,なし,なし,6,4,2,1,4,4,3,2,2,5,1,2,5,2,4,2,4,1,3
84,EHCNS,冷静な実務家 (ESTJ),20-29,Female,ItoE_noname.txt,なし,なし,3,2,1,0,1,1,2,0,0,2,0,0,1,1,2,0,1,0,1
85,EHCNS,冷静な実務家 (ESTJ),50-59,Female,ItoE_name.txt,なし,あり,3,2,0,0,0,1,2,0,0,2,0,0,1,0,1,0,1,0,0
86,IHCTS,実直な専門家 (ISTJ),50-59,Male,ItoI_noname.txt,あり,なし,3,1,1,0,1,1,1,0,0,1,0,0,2,0,3,0,1,0,0
87,EACTS,実行型サポーター (ESFJ),80-89,Female,ItoE_noname.txt,なし,なし,8,7,2,1,5,4,5,1,2,4,1,2,6,2,4,3,5,1,5
88,IHCNS,寡黙な実行者 (ISTJ),40-49,Male,ItoI_name.txt,あり,あり,2,2,0,0,1,1,2,0,0,2,0,0,2,0,2,0,1,0,0
80,EHRNO,独立型ビジョナリー (ENTP),30-39,Male,ItoI_noname.txt,あり,なし,3,2,1,0,1,2,2,1,2,3,0,1,2,0,2,1,2,1,1
81,EHRNO,独立型ビジョナリー (ENTP),50-59,Male,ItoI_noname.txt,あり,なし,3,2,1,0,1,2,1,1,2,3,0,1,1,0,2,1,2,0,1
82,EARNO,自由な外交官 (ENFP),20-29,Female,ItoE_noname.txt,なし,なし,6,4,2,1,6,3,4,2,3,4,1,2,6,2,5,3,4,2,4
83,EARNO,自由な外交官 (ENFP),30-39,Male,ItoI_noname.txt,あり,なし,5,4,2,1,4,3,3,2,2,4,1,2,5,2,5,2,3,1,3
84,EHCNS,冷静な実務家 (ESTJ),40-49,Male,ItoI_name.txt,あり,あり,2,1,0,0,1,1,3,0,0,2,0,1,1,0,1,0,1,0,1
