Trial,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
0,4,3,1,0,2,2,2,1,1,2,0,1,4,1,3,1,2,0,1
1,3,2,1,0,2,2,3,1,2,4,0,1,2,1,2,1,2,0,2
2,4,2,1,0,2,2,4,0,1,3,0,1,3,1,3,1,2,0,1
3,4,3,1,0,2,2,5,1,2,5,0,1,3,2,4,1,3,0,3
4,3,2,0,0,1,1,3,0,1,2,0,0,2,0,2,0,1,0,1
5,3,2,0,0,1,1,4,0,0,1,0,0,2,0,3,0,2,0,1
6,3,2,1,0,2,2,3,0,1,4,0,0,2,1,2,0,1,0,0
7,4,3,1,0,1,2,4,0,1,2,0,1,3,1,3,1,3,0,2
8,3,2,0,0,1,1,2,0,0,2,0,0,2,0,1,0,1,0,1
9,3,2,0,0,1,1,3,0,0,2,0,0,2,0,2,0,1,0,1
10,3,2,1,0,2,2,4,0,1,3,0,1,3,2,4,1,2,0,2
11,3,2,0,0,1,1,3,0,1,2,0,0,2,1,2,0,1,0,1
12,3,2,0,0,1,1,4,0,0,2,0,0,2,1,3,0,2,0,1
13,4,2,1,0,2,1,3,0,1,2,0,0,2,1,2,1,2,0,1
14,4,3,1,0,2,1,4,1,1,3,0,1,3,1,4,1,3,0,2
15,6,4,1,0,2,3,4,1,2,3,0,1,4,1,5,1,4,0,3
16,4,3,0,0,2,2,3,0,1,5,0,0,3,1,4,0,3,0,1
17,3,2,1,0,2,1,4,0,1,2,0,1,2,1,3,0,3,0,1
18,4,3,1,0,2,2,4,0,1,2,0,1,1,1,4,1,2,0,1
19,3,2,1,0,1,1,3,0,1,2,0,0,1,1,2,1,1,0,1
20,4,3,1,0,2,3,4,0,1,3,0,0,4,1,4,1,4,0,2
21,4,2,1,0,2,2,4,0,1,3,0,0,3,1,3,0,2,0,2
22,4,2,1,0,2,1,4,0,1,3,0,1,2,1,3,0,3,0,1
23,4,3,1,0,2,1,3,1,1,5,0,1,3,1,4,0,2,0,2
24,4,1,0,0,1,1,4,0,1,6,0,0,2,1,2,0,1,0,0
25,4,3,0,0,2,1,3,0,1,2,0,0,3,1,4,0,2,0,2
26,6,4,1,0,2,3,5,1,1,4,0,1,4,1,4,1,3,0,2
27,2,1,0,0,1,1,3,0,1,2,0,0,2,0,1,0,1,0,0
28,4,3,1,0,2,2,4,0,1,3,0,1,2,1,2,1,2,0,1
29,4,3,1,0,2,2,4,1,1,5,0,1,4,1,5,1,4,0,2
30,4,2,0,0,1,1,3,0,1,2,0,0,1,0,2,0,2,0,1
31,3,2,1,0,2,1,4,0,1,2,0,1,3,1,3,1,2,0,1
32,5,3,1,0,2,2,4,1,1,2,0,1,2,1,3,1,3,0,2
33,7,5,1,0,2,2,4,1,1,3,0,1,2,1,3,1,3,0,2
34,3,2,1,0,2,1,4,0,1,2,0,1,2,1,2,1,2,0,2
35,4,2,1,0,2,1,3,0,1,5,0,1,3,1,2,1,2,0,1
36,3,3,1,0,2,2,4,0,1,4,0,1,3,1,4,0,3,0,2
37,3,2,1,0,2,1,3,0,1,3,0,0,2,1,2,1,2,0,1
38,5,3,1,0,2,2,4,1,1,2,0,1,3,1,4,1,3,0,2
39,4,2,1,0,1,1,4,0,1,4,0,0,2,0,3,0,3,0,1
40,4,3,1,0,2,3,4,1,2,3,0,1,4,2,5,1,3,0,2
41,3,2,1,0,2,1,4,0,1,2,0,1,3,1,2,1,2,0,1
42,4,2,1,0,2,2,4,1,1,5,0,1,2,1,3,1,3,0,2
43,3,2,1,0,1,2,4,0,1,3,0,1,1,1,2,1,3,0,2
44,3,2,0,0,1,1,3,0,1,2,0,1,2,0,4,0,3,0,1
45,4,3,1,0,3,2,4,1,1,3,0,1,4,2,5,1,2,0,2
46,3,2,1,0,2,2,4,0,1,3,0,1,2,1,4,1,2,0,2
47,6,4,1,0,2,2,3,0,1,4,0,0,5,1,3,1,4,0,2
48,4,3,1,0,2,2,5,1,1,4,0,1,4,1,5,1,3,0,2
49,4,3,1,0,2,2,5,1,1,4,0,1,3,1,2,1,3,0,2
50,3,2,0,0,1,1,3,0,1,3,0,0,2,0,3,0,2,0,2
51,3,2,1,0,2,2,4,0,1,3,0,0,2,1,4,1,2,0,1
52,3,2,1,0,2,2,4,0,1,3,0,0,3,2,4,1,3,0,1
53,3,2,1,0,2,1,3,1,1,2,0,1,3,1,2,1,2,0,1
54,3,2,1,0,1,1,3,0,1,2,0,0,2,1,3,0,2,0,1
55,4,3,1,0,2,2,4,0,1,3,0,1,3,1,3,0,2,0,2
56,4,3,1,0,2,2,4,0,1,4,0,1,3,1,3,1,3,0,2
57,3,2,1,0,2,2,4,1,1,4,0,1,3,1,3,1,2,0,2
58,4,3,1,0,2,2,4,1,1,3,0,1,3,1,4,1,3,0,2
59,3,2,1,0,2,2,2,0,1,3,0,0,2,1,4,1,1,0,1
60,3,2,0,0,1,1,3,0,1,3,0,0,3,0,2,1,2,0,1
61,3,2,0,0,1,1,3,0,0,2,0,0,2,0,2,0,2,0,1
62,6,4,0,0,1,2,4,0,1,5,0,0,3,1,3,0,4,0,2
63,4,3,1,0,2,2,5,1,1,3,0,1,4,2,5,1,3,0,2
64,4,2,1,0,2,2,3,1,1,3,0,1,4,1,4,1,3,0,1
65,3,2,0,0,1,1,3,0,0,1,0,0,3,1,2,0,1,0,1
66,3,2,1,0,2,2,4,0,1,2,0,0,2,1,3,0,2,0,1
67,7,3,1,0,2,1,4,0,1,4,0,1,2,1,2,1,2,0,2
68,7,5,1,0,3,4,6,1,2,4,0,1,4,1,4,1,5,0,3
69,4,3,0,0,1,1,5,0,1,2,0,0,2,1,4,0,3,0,2
70,2,1,0,0,1,1,2,0,0,1,0,0,3,0,1,0,1,0,1
71,4,2,1,0,2,2,5,0,1,3,0,1,3,2,3,0,2,0,1
72,4,3,1,0,2,1,3,0,1,2,0,1,2,1,3,1,2,0,2
73,4,3,1,0,2,2,4,1,1,3,0,1,2,1,3,1,2,0,2
74,3,2,0,0,2,1,3,0,0,2,0,1,3,0,3,1,2,0,1
75,3,2,0,0,1,1,2,0,0,1,0,0,2,1,2,0,1,0,1
76,3,2,1,0,1,1,4,0,1,2,0,0,2,1,2,1,2,0,1
77,3,2,0,0,1,1,4,0,1,2,0,0,1,1,3,0,3,0,1
78,4,2,1,0,2,2,5,0,1,4,0,1,4,1,2,1,4,0,2
79,3,2,1,0,2,2,3,0,1,2,0,1,2,1,2,0,2,0,1
80,3,1,0,0,1,1,2,0,1,2,0,0,2,1,3,0,1,0,1
81,3,2,1,0,2,1,4,1,1,4,0,1,2,1,3,1,4,0,1
82,3,2,1,0,2,1,4,0,1,2,0,0,2,1,2,1,2,0,1
83,3,2,1,0,2,2,3,0,1,3,0,1,3,1,3,0,2,0,2
84,3,2,0,0,1,2,3,0,1,4,0,0,2,1,2,0,3,0,2
85,6,4,1,0,2,1,5,0,1,3,0,1,3,1,2,1,2,0,2
86,2,1,0,0,1,1,3,0,1,2,0,0,4,1,2,0,1,0,1
87,2,2,0,0,1,1,4,0,1,6,0,0,2,0,2,1,2,0,1
88,3,2,1,0,2,2,3,0,1,2,0,1,2,1,3,1,2,0,1
89,4,3,1,0,2,3,4,1,1,3,0,1,3,1,3,1,4,0,2
90,3,2,0,0,2,1,3,0,0,4,0,0,3,0,2,0,1,0,1
91,3,2,0,0,2,1,3,0,1,4,0,1,3,1,4,1,2,0,1
92,4,3,1,0,2,2,5,1,1,4,0,1,3,1,4,1,4,0,2
93,3,2,1,0,2,3,4,1,1,3,0,0,3,1,4,1,4,0,2
94,3,2,0,0,1,1,2,0,0,2,0,0,2,1,2,0,1,0,1
95,3,2,1,0,2,2,3,1,1,2,0,1,2,1,3,1,2,0,1
96,3,2,1,0,2,2,3,0,1,2,0,1,4,2,4,1,3,0,1
97,3,2,1,0,2,2,2,1,1,4,0,1,3,1,3,0,2,0,1
98,3,2,0,0,1,1,2,0,1,2,0,0,2,0,1,0,2,0,1
99,4,3,1,0,2,2,6,1,2,5,0,1,3,1,3,1,3,0,2
